Month,Item Fat Content,Item Type,Outlet Location Type,Outlet Size,Outlet Type,Sales,Rating
APR,Regular,Starchy Foods,Tier 3,Medium,Supermarket Type3,174,4.6
APR,Regular,Canned,Tier 3,Medium,Supermarket Type3,165,4.5
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,232,4.5
APR,Low Fat,Dairy,Tier 1,Small,Grocery Store,233,4.5
APR,Low Fat,Fruits and Vegetables,Tier 1,Small,Grocery Store,163,4.5
APR,Low Fat,Household,Tier 1,Small,Grocery Store,93,4.5
APR,Low Fat,Household,Tier 1,Small,Grocery Store,185,4.5
APR,Low Fat,Household,Tier 1,Small,Grocery Store,254,4.5
APR,Low Fat,Household,Tier 1,Small,Grocery Store,195,4.5
APR,Low Fat,Household,Tier 1,Small,Grocery Store,161,4.5
APR,Low Fat,Others,Tier 1,Small,Grocery Store,79,4.5
APR,Low Fat,Snack Foods,Tier 1,Small,Grocery Store,113,4.5
APR,Low Fat,Snack Foods,Tier 1,Small,Grocery Store,111,4.5
APR,Low Fat,Snack Foods,Tier 1,Small,Grocery Store,142,4.5
APR,Low Fat,Soft Drinks,Tier 1,Small,Grocery Store,173,4.5
APR,Regular,Snack Foods,Tier 1,Small,Grocery Store,173,4.5
APR,Regular,Snack Foods,Tier 1,Small,Grocery Store,258,4.5
APR,Regular,Snack Foods,Tier 1,Small,Grocery Store,131,4.5
APR,Regular,Snack Foods,Tier 1,Small,Grocery Store,159,4.5
APR,low fat,Snack Foods,Tier 1,Small,Grocery Store,212,4.5
APR,Low Fat,Breads,Tier 3,Medium,Supermarket Type3,217,4.5
APR,Low Fat,Breads,Tier 3,Medium,Supermarket Type3,178,4.5
APR,Low Fat,Dairy,Tier 3,Medium,Supermarket Type3,197,4.5
APR,Low Fat,Dairy,Tier 3,Medium,Supermarket Type3,265,4.5
APR,Low Fat,Frozen Foods,Tier 3,Medium,Supermarket Type3,256,4.5
APR,Low Fat,Frozen Foods,Tier 3,Medium,Supermarket Type3,225,4.5
APR,Low Fat,Frozen Foods,Tier 3,Medium,Supermarket Type3,158,4.5
APR,Low Fat,Health and Hygiene,Tier 3,Medium,Supermarket Type3,62,4.5
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,36,4.5
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,163,4.5
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,191,4.5
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,161,4.5
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,182,4.5
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,254,4.5
APR,Low Fat,Others,Tier 3,Medium,Supermarket Type3,40,4.5
APR,Regular,Baking Goods,Tier 3,Medium,Supermarket Type3,82,4.5
APR,Regular,Canned,Tier 3,Medium,Supermarket Type3,153,4.5
APR,Regular,Frozen Foods,Tier 3,Medium,Supermarket Type3,79,4.5
APR,Regular,Frozen Foods,Tier 3,Medium,Supermarket Type3,92,4.5
APR,Regular,Frozen Foods,Tier 3,Medium,Supermarket Type3,163,4.5
APR,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,81,4.5
APR,Regular,Snack Foods,Tier 3,Medium,Supermarket Type3,200,4.5
APR,Regular,Soft Drinks,Tier 3,Medium,Supermarket Type3,174,4.5
APR,low fat,Baking Goods,Tier 3,Medium,Supermarket Type3,50,4.5
APR,low fat,Breads,Tier 3,Medium,Supermarket Type3,102,4.5
APR,low fat,Health and Hygiene,Tier 3,Medium,Supermarket Type3,134,4.5
APR,Regular,Dairy,Tier 3,Medium,Supermarket Type3,121,4.5
APR,Low Fat,Snack Foods,Tier 3,Medium,Supermarket Type3,88,4.4
APR,Regular,Fruits and Vegetables,Tier 1,Small,Grocery Store,166,4.4
APR,Low Fat,Baking Goods,Tier 3,Medium,Supermarket Type3,178,4.4
APR,Regular,Snack Foods,Tier 1,Small,Grocery Store,119,4.4
APR,Low Fat,Health and Hygiene,Tier 1,Small,Grocery Store,151,4.4
APR,Low Fat,Frozen Foods,Tier 3,Medium,Supermarket Type3,107,4.4
APR,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,190,4.4
APR,Low Fat,Snack Foods,Tier 3,Medium,Supermarket Type3,183,4.4
APR,Low Fat,Snack Foods,Tier 3,Medium,Supermarket Type3,182,4.4
APR,Low Fat,Dairy,Tier 3,Medium,Supermarket Type3,242,4.4
APR,Regular,Meat,Tier 3,Medium,Supermarket Type3,83,4.4
APR,Regular,Canned,Tier 3,Medium,Supermarket Type3,155,4.4
APR,Low Fat,Baking Goods,Tier 1,Small,Grocery Store,92,4.4
APR,Low Fat,Dairy,Tier 1,Small,Grocery Store,42,4.4
APR,Low Fat,Frozen Foods,Tier 1,Small,Grocery Store,149,4.4
APR,Low Fat,Fruits and Vegetables,Tier 1,Small,Grocery Store,228,4.4
APR,Low Fat,Fruits and Vegetables,Tier 1,Small,Grocery Store,113,4.4
APR,Low Fat,Fruits and Vegetables,Tier 1,Small,Grocery Store,150,4.4
APR,Low Fat,Fruits and Vegetables,Tier 1,Small,Grocery Store,121,4.4
APR,Low Fat,Health and Hygiene,Tier 1,Small,Grocery Store,165,4.4
APR,Low Fat,Household,Tier 1,Small,Grocery Store,86,4.4
APR,Low Fat,Meat,Tier 1,Small,Grocery Store,126,4.4
APR,Low Fat,Others,Tier 1,Small,Grocery Store,255,4.4
APR,Low Fat,Snack Foods,Tier 1,Small,Grocery Store,215,4.4
APR,Low Fat,Snack Foods,Tier 1,Small,Grocery Store,175,4.4
APR,Low Fat,Snack Foods,Tier 1,Small,Grocery Store,82,4.4
APR,Regular,Dairy,Tier 1,Small,Grocery Store,232,4.4
APR,Regular,Frozen Foods,Tier 1,Small,Grocery Store,229,4.4
APR,Regular,Frozen Foods,Tier 1,Small,Grocery Store,110,4.4
APR,Regular,Meat,Tier 1,Small,Grocery Store,186,4.4
APR,Regular,Snack Foods,Tier 1,Small,Grocery Store,182,4.4
APR,Regular,Starchy Foods,Tier 1,Small,Grocery Store,184,4.4
APR,low fat,Dairy,Tier 1,Small,Grocery Store,44,4.4
APR,Low Fat,Health and Hygiene,Tier 3,Medium,Supermarket Type3,152,4.4
APR,Low Fat,Breakfast,Tier 3,Medium,Supermarket Type3,178,4.4
APR,Low Fat,Canned,Tier 3,Medium,Supermarket Type3,259,4.4
APR,Low Fat,Canned,Tier 3,Medium,Supermarket Type3,176,4.4
APR,Low Fat,Dairy,Tier 3,Medium,Supermarket Type3,55,4.4
APR,Low Fat,Frozen Foods,Tier 3,Medium,Supermarket Type3,148,4.4
APR,Low Fat,Frozen Foods,Tier 3,Medium,Supermarket Type3,79,4.4
APR,Low Fat,Frozen Foods,Tier 3,Medium,Supermarket Type3,107,4.4
APR,Low Fat,Hard Drinks,Tier 3,Medium,Supermarket Type3,39,4.4
APR,Low Fat,Hard Drinks,Tier 3,Medium,Supermarket Type3,42,4.4
APR,Low Fat,Health and Hygiene,Tier 3,Medium,Supermarket Type3,140,4.4
APR,Low Fat,Health and Hygiene,Tier 3,Medium,Supermarket Type3,125,4.4
APR,Low Fat,Health and Hygiene,Tier 3,Medium,Supermarket Type3,264,4.4
APR,Low Fat,Health and Hygiene,Tier 3,Medium,Supermarket Type3,164,4.4
APR,Low Fat,Health and Hygiene,Tier 3,Medium,Supermarket Type3,62,4.4
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,235,4.4
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,208,4.4
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,168,4.4
APR,Low Fat,Snack Foods,Tier 3,Medium,Supermarket Type3,187,4.4
APR,Regular,Breakfast,Tier 3,Medium,Supermarket Type3,49,4.4
APR,Regular,Canned,Tier 3,Medium,Supermarket Type3,178,4.4
APR,Regular,Dairy,Tier 3,Medium,Supermarket Type3,44,4.4
APR,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,146,4.4
APR,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,147,4.4
APR,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,257,4.4
APR,Regular,Meat,Tier 3,Medium,Supermarket Type3,197,4.4
APR,Low Fat,Hard Drinks,Tier 3,Medium,Supermarket Type3,113,4.3
APR,Low Fat,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,38,4.3
APR,Low Fat,Canned,Tier 3,Medium,Supermarket Type3,181,4.3
APR,Regular,Baking Goods,Tier 3,Medium,Supermarket Type3,196,4.3
APR,Low Fat,Hard Drinks,Tier 3,Medium,Supermarket Type3,122,4.3
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,57,4.3
APR,Low Fat,Starchy Foods,Tier 3,Medium,Supermarket Type3,174,4.3
APR,Low Fat,Meat,Tier 1,Small,Grocery Store,66,4.3
APR,Low Fat,Snack Foods,Tier 3,Medium,Supermarket Type3,95,4.3
APR,Regular,Frozen Foods,Tier 1,Small,Grocery Store,145,4.3
APR,Low Fat,Soft Drinks,Tier 1,Small,Grocery Store,181,4.3
APR,Low Fat,Seafood,Tier 3,Medium,Supermarket Type3,34,4.3
APR,Low Fat,Baking Goods,Tier 1,Small,Grocery Store,250,4.3
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,115,4.3
APR,Low Fat,Canned,Tier 1,Small,Grocery Store,185,4.3
APR,Low Fat,Baking Goods,Tier 1,Small,Grocery Store,180,4.3
APR,Low Fat,Baking Goods,Tier 1,Small,Grocery Store,99,4.3
APR,Low Fat,Baking Goods,Tier 1,Small,Grocery Store,106,4.3
APR,Low Fat,Breads,Tier 1,Small,Grocery Store,130,4.3
APR,Low Fat,Dairy,Tier 1,Small,Grocery Store,177,4.3
APR,Low Fat,Dairy,Tier 1,Small,Grocery Store,106,4.3
APR,Low Fat,Frozen Foods,Tier 1,Small,Grocery Store,110,4.3
APR,Low Fat,Frozen Foods,Tier 1,Small,Grocery Store,215,4.3
APR,Low Fat,Fruits and Vegetables,Tier 1,Small,Grocery Store,158,4.3
APR,Low Fat,Fruits and Vegetables,Tier 1,Small,Grocery Store,211,4.3
APR,Low Fat,Fruits and Vegetables,Tier 1,Small,Grocery Store,94,4.3
APR,Low Fat,Health and Hygiene,Tier 1,Small,Grocery Store,40,4.3
APR,Low Fat,Health and Hygiene,Tier 1,Small,Grocery Store,44,4.3
APR,Low Fat,Health and Hygiene,Tier 1,Small,Grocery Store,259,4.3
APR,Low Fat,Health and Hygiene,Tier 1,Small,Grocery Store,144,4.3
APR,Low Fat,Household,Tier 1,Small,Grocery Store,197,4.3
APR,Low Fat,Household,Tier 1,Small,Grocery Store,76,4.3
APR,Low Fat,Household,Tier 1,Small,Grocery Store,228,4.3
APR,Low Fat,Meat,Tier 1,Small,Grocery Store,153,4.3
APR,Low Fat,Others,Tier 1,Small,Grocery Store,84,4.3
APR,Low Fat,Others,Tier 1,Small,Grocery Store,182,4.3
APR,Low Fat,Snack Foods,Tier 1,Small,Grocery Store,156,4.3
APR,Low Fat,Soft Drinks,Tier 1,Small,Grocery Store,147,4.3
APR,Low Fat,Soft Drinks,Tier 1,Small,Grocery Store,151,4.3
APR,Regular,Baking Goods,Tier 1,Small,Grocery Store,93,4.3
APR,Regular,Breakfast,Tier 1,Small,Grocery Store,56,4.3
APR,Regular,Dairy,Tier 1,Small,Grocery Store,56,4.3
APR,Regular,Frozen Foods,Tier 1,Small,Grocery Store,49,4.3
APR,Regular,Fruits and Vegetables,Tier 1,Small,Grocery Store,163,4.3
APR,Regular,Fruits and Vegetables,Tier 1,Small,Grocery Store,79,4.3
APR,Regular,Fruits and Vegetables,Tier 1,Small,Grocery Store,172,4.3
APR,Regular,Fruits and Vegetables,Tier 1,Small,Grocery Store,122,4.3
APR,Regular,Fruits and Vegetables,Tier 1,Small,Grocery Store,207,4.3
APR,Regular,Meat,Tier 1,Small,Grocery Store,45,4.3
APR,Regular,Snack Foods,Tier 1,Small,Grocery Store,103,4.3
APR,Regular,Snack Foods,Tier 1,Small,Grocery Store,169,4.3
APR,Regular,Snack Foods,Tier 1,Small,Grocery Store,52,4.3
APR,Regular,Snack Foods,Tier 1,Small,Grocery Store,41,4.3
APR,Low Fat,Baking Goods,Tier 3,Medium,Supermarket Type3,78,4.3
APR,Low Fat,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,245,4.3
APR,Low Fat,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,106,4.3
APR,Low Fat,Household,Tier 3,Medium,Supermarket Type3,154,4.3
APR,Low Fat,Baking Goods,Tier 3,Medium,Supermarket Type3,143,4.3
APR,Low Fat,Baking Goods,Tier 3,Medium,Supermarket Type3,247,4.3
APR,Low Fat,Baking Goods,Tier 3,Medium,Supermarket Type3,43,4.3
APR,Low Fat,Baking Goods,Tier 3,Medium,Supermarket Type3,151,4.3
APR,Low Fat,Canned,Tier 3,Medium,Supermarket Type3,40,4.3
APR,Low Fat,Canned,Tier 3,Medium,Supermarket Type3,199,4.3
APR,Low Fat,Canned,Tier 3,Medium,Supermarket Type3,205,4.3
APR,Low Fat,Dairy,Tier 3,Medium,Supermarket Type3,74,4.3
APR,Low Fat,Dairy,Tier 3,Medium,Supermarket Type3,152,4.3
APR,Low Fat,Frozen Foods,Tier 3,Medium,Supermarket Type3,209,4.3
AUG,Low Fat,Frozen Foods,Tier 3,Medium,Supermarket Type3,215,4.3
AUG,Low Fat,Frozen Foods,Tier 3,Medium,Supermarket Type3,101,4.3
AUG,Low Fat,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,160,4.3
AUG,Low Fat,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,91,4.3
AUG,Low Fat,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,116,4.3
AUG,Low Fat,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,38,4.3
AUG,Low Fat,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,126,4.3
AUG,Low Fat,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,148,4.3
AUG,Low Fat,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,141,4.3
AUG,Low Fat,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,111,4.3
AUG,Low Fat,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,170,4.3
AUG,Low Fat,Hard Drinks,Tier 3,Medium,Supermarket Type3,234,4.3
AUG,Low Fat,Health and Hygiene,Tier 3,Medium,Supermarket Type3,158,4.3
AUG,Low Fat,Health and Hygiene,Tier 3,Medium,Supermarket Type3,195,4.3
AUG,Low Fat,Household,Tier 3,Medium,Supermarket Type3,173,4.3
AUG,Low Fat,Household,Tier 3,Medium,Supermarket Type3,125,4.3
AUG,Low Fat,Household,Tier 3,Medium,Supermarket Type3,177,4.3
AUG,Low Fat,Household,Tier 3,Medium,Supermarket Type3,46,4.3
AUG,Low Fat,Household,Tier 3,Medium,Supermarket Type3,105,4.3
AUG,Low Fat,Meat,Tier 3,Medium,Supermarket Type3,243,4.3
AUG,Low Fat,Meat,Tier 3,Medium,Supermarket Type3,78,4.3
AUG,Low Fat,Meat,Tier 3,Medium,Supermarket Type3,140,4.3
AUG,Low Fat,Meat,Tier 3,Medium,Supermarket Type3,255,4.3
AUG,Low Fat,Meat,Tier 3,Medium,Supermarket Type3,190,4.3
AUG,Low Fat,Meat,Tier 3,Medium,Supermarket Type3,186,4.3
AUG,Low Fat,Meat,Tier 3,Medium,Supermarket Type3,166,4.3
AUG,Low Fat,Meat,Tier 3,Medium,Supermarket Type3,221,4.3
AUG,Low Fat,Others,Tier 3,Medium,Supermarket Type3,164,4.3
AUG,Low Fat,Snack Foods,Tier 3,Medium,Supermarket Type3,254,4.3
AUG,Low Fat,Snack Foods,Tier 3,Medium,Supermarket Type3,125,4.3
AUG,Low Fat,Soft Drinks,Tier 3,Medium,Supermarket Type3,113,4.3
AUG,Low Fat,Soft Drinks,Tier 3,Medium,Supermarket Type3,94,4.3
AUG,Low Fat,Soft Drinks,Tier 3,Medium,Supermarket Type3,191,4.3
AUG,Low Fat,Soft Drinks,Tier 3,Medium,Supermarket Type3,165,4.3
AUG,Low Fat,Soft Drinks,Tier 3,Medium,Supermarket Type3,197,4.3
AUG,Regular,Breads,Tier 3,Medium,Supermarket Type3,146,4.3
AUG,Regular,Breads,Tier 3,Medium,Supermarket Type3,110,4.3
AUG,Regular,Breads,Tier 3,Medium,Supermarket Type3,105,4.3
AUG,Regular,Canned,Tier 3,Medium,Supermarket Type3,100,4.3
AUG,Regular,Canned,Tier 3,Medium,Supermarket Type3,185,4.3
AUG,Regular,Frozen Foods,Tier 3,Medium,Supermarket Type3,113,4.3
AUG,Regular,Frozen Foods,Tier 3,Medium,Supermarket Type3,106,4.3
AUG,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,164,4.3
AUG,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,220,4.3
AUG,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,90,4.3
AUG,Regular,Meat,Tier 3,Medium,Supermarket Type3,198,4.3
AUG,Regular,Meat,Tier 3,Medium,Supermarket Type3,96,4.3
AUG,Regular,Snack Foods,Tier 3,Medium,Supermarket Type3,121,4.3
AUG,Regular,Snack Foods,Tier 3,Medium,Supermarket Type3,80,4.3
AUG,Regular,Snack Foods,Tier 3,Medium,Supermarket Type3,96,4.3
AUG,Regular,Soft Drinks,Tier 3,Medium,Supermarket Type3,123,4.3
AUG,Regular,Meat,Tier 1,Small,Grocery Store,177,4.2
AUG,Low Fat,Health and Hygiene,Tier 1,Small,Grocery Store,118,4.2
AUG,Low Fat,Snack Foods,Tier 1,Small,Grocery Store,191,4.2
AUG,Low Fat,Health and Hygiene,Tier 1,Small,Grocery Store,194,4.2
AUG,Low Fat,Baking Goods,Tier 1,Small,Grocery Store,49,4.2
AUG,Low Fat,Dairy,Tier 3,Medium,Supermarket Type3,261,4.2
AUG,Regular,Canned,Tier 1,Small,Grocery Store,161,4.2
AUG,Low Fat,Snack Foods,Tier 1,Small,Grocery Store,158,4.2
AUG,Low Fat,Snack Foods,Tier 3,Medium,Supermarket Type3,118,4.2
AUG,Low Fat,Household,Tier 1,Small,Grocery Store,255,4.2
AUG,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,106,4.2
AUG,Regular,Baking Goods,Tier 3,Medium,Supermarket Type3,172,4.2
AUG,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,162,4.2
AUG,Regular,Fruits and Vegetables,Tier 3,Medium,Supermarket Type3,84,4.2
AUG,Regular,Frozen Foods,Tier 3,Medium,Supermarket Type3,87,4.2
AUG,Low Fat,Snack Foods,Tier 1,Small,Grocery Store,45,4.2
AUG,Low Fat,Baking Goods,Tier 1,Small,Grocery Store,47,4.2
AUG,Low Fat,Baking Goods,Tier 1,Small,Grocery Store,158,4.2
AUG,Low Fat,Baking Goods,Tier 1,Small,Grocery Store,107,4.2
AUG,Low Fat,Breads,Tier 1,Small,Grocery Store,176,4.2
AUG,Low Fat,Canned,Tier 1,Small,Grocery Store,39,4.2
AUG,Low Fat,Canned,Tier 1,Small,Grocery Store,115,4.2
AUG,Low Fat,Canned,Tier 1,Small,Grocery Store,180,4.2
AUG,Low Fat,Canned,Tier 1,Small,Grocery Store,75,4.2
AUG,Low Fat,Frozen Foods,Tier 1,Small,Grocery Store,98,4.2
AUG,Low Fat,Health and Hygiene,Tier 1,Small,Grocery Store,61,4.2
AUG,Low Fat,Health and Hygiene,Tier 1,Small,Grocery Store,266,4.2
AUG,Low Fat,Health and Hygiene,Tier 1,Small,Grocery Store,56,4.2
AUG,Low Fat,Household,Tier 1,Small,Grocery Store,126,4.2
AUG,Low Fat,Meat,Tier 1,Small,Grocery Store,65,4.2
AUG,Low Fat,Meat,Tier 1,Small,Grocery Store,103,4.2
